Season_Yr,Visitor_Team,Visitor_Team_PTS,Home_Team,Home_Team_PTS
2013,Werder Bremen,1, Dortmund,2
2013,Hoffenheim,1, Monchengladbach,2
2013,FSV Mainz 05,1, Freiburg,1
2013,Dusseldorf,2, FC Augsburg,0
2013,FC Nurnberg,1, Hamburger SV,0
2013,Bayern Munich,3, Greuther Furth,0
2013,Leverkusen,1, Frankfurt,2
2013,Wolfsburg,1, Stuttgart,0
2013,Schalke 04,2, Hannover 96,2
2013,Greuther Furth,1, FSV Mainz 05,0
2013,FC Augsburg,1, Schalke 04,3
2013,Monchengladbach,0, Dusseldorf,0
2013,Frankfurt,4, Hoffenheim,0
2013,Dortmund,1, FC Nurnberg,1
2013,Freiburg,0, Leverkusen,2
2013,Hamburger SV,0, Werder Bremen,2
2013,Hannover 96,4, Wolfsburg,0
2013,Stuttgart,1, Bayern Munich,6
2013,Wolfsburg,0, FC Augsburg,0
2013,Dusseldorf,0, Stuttgart,0
2013,Schalke 04,2, Greuther Furth,0
2013,Werder Bremen,2, Hannover 96,3
2013,Leverkusen,0, Dortmund,3
2013,FSV Mainz 05,1, Bayern Munich,3
2013,FC Nurnberg,3, Monchengladbach,2
2013,Hoffenheim,3, Freiburg,5
2013,Hamburger SV,2, Frankfurt,3
2013,Frankfurt,2, FC Nurnberg,1
2013,Greuther Furth,1, Wolfsburg,1
2013,Freiburg,0, Dusseldorf,0
2013,FC Augsburg,0, FSV Mainz 05,2
2013,Bayern Munich,2, Schalke 04,0
2013,Dortmund,2, Hamburger SV,3
2013,Monchengladbach,1, Leverkusen,1
2013,Stuttgart,2, Werder Bremen,2
2013,Hannover 96,1, Hoffenheim,3
2013,Dortmund,3, Frankfurt,3
2013,Dusseldorf,2, Greuther Furth,0
2013,FSV Mainz 05,0, Schalke 04,3
2013,Wolfsburg,0, Bayern Munich,3
2013,Hoffenheim,3, Stuttgart,0
2013,FC Nurnberg,1, Hannover 96,4
2013,Werder Bremen,2, Freiburg,1
2013,Leverkusen,3, FC Augsburg,1
2013,Hamburger SV,2, Monchengladbach,2
2013,Schalke 04,2, Dusseldorf,2
2013,Stuttgart,2, FC Nurnberg,0
2013,Monchengladbach,0, Dortmund,5
2013,FC Augsburg,0, Hoffenheim,0
2013,Bayern Munich,2, Werder Bremen,0
2013,Greuther Furth,0, Leverkusen,2
2013,Hannover 96,0, Hamburger SV,1
2013,Freiburg,1, Frankfurt,2
2013,FSV Mainz 05,2, Wolfsburg,0
2013,Werder Bremen,1, FC Augsburg,3
2013,FC Nurnberg,0, Freiburg,3
2013,Hoffenheim,0, Bayern Munich,2
2013,Wolfsburg,0, Schalke 04,3
2013,Hamburger SV,1, Greuther Furth,0
2013,Dusseldorf,0, FSV Mainz 05,1
2013,Frankfurt,0, Monchengladbach,2
2013,Dortmund,1, Hannover 96,1
2013,Leverkusen,2, Stuttgart,2
2013,Greuther Furth,3, Hoffenheim,3
2013,Bayern Munich,5, Dusseldorf,0
2013,Hannover 96,1, Frankfurt,3
2013,Monchengladbach,0, Werder Bremen,4
2013,Freiburg,2, Wolfsburg,0
2013,FSV Mainz 05,2, Leverkusen,2
2013,Schalke 04,2, Dortmund,1
2013,FC Augsburg,0, FC Nurnberg,0
2013,Stuttgart,1, Hamburger SV,0
2013,Hamburger SV,2, FC Augsburg,0
2013,Dortmund,2, Freiburg,0
2013,Hoffenheim,0, FSV Mainz 05,3
2013,FC Nurnberg,0, Schalke 04,1
2013,Wolfsburg,4, Dusseldorf,1
2013,Werder Bremen,1, Greuther Furth,1
2013,Frankfurt,1, Stuttgart,2
2013,Leverkusen,2, Bayern Munich,1
2013,Monchengladbach,3, Hannover 96,2
2013,Greuther Furth,1, Frankfurt,1
2013,Wolfsburg,0, FC Nurnberg,1
2013,Bayern Munich,3, Hamburger SV,0
2013,Schalke 04,2, Hoffenheim,3
2013,FC Augsburg,0, Hannover 96,2
2013,Freiburg,1, Monchengladbach,1
2013,Stuttgart,0, Dortmund,0
2013,Dusseldorf,2, Leverkusen,3
2013,FSV Mainz 05,1, Werder Bremen,2
2013,FC Nurnberg,1, FSV Mainz 05,2
2013,Hamburger SV,0, Freiburg,0
2013,Hoffenheim,1, Dusseldorf,1
2013,Dortmund,3, FC Augsburg,1
2013,Frankfurt,0, Bayern Munich,2
2013,Werder Bremen,1, Schalke 04,2
2013,Hannover 96,4, Stuttgart,2
2013,Monchengladbach,4, Greuther Furth,2
2013,Leverkusen,1, Wolfsburg,3
2013,Schalke 04,0, Leverkusen,2
2013,FC Augsburg,2, Frankfurt,4
2013,FSV Mainz 05,0, Hamburger SV,1
2013,Bayern Munich,1, FC Nurnberg,1
2013,Freiburg,2, Hannover 96,1
2013,Stuttgart,2, Monchengladbach,1
2013,Greuther Furth,1, Dortmund,3
2013,Wolfsburg,3, Hoffenheim,1
2013,Dusseldorf,1, Werder Bremen,2
2013,Hamburger SV,0, Dusseldorf,2
2013,Dortmund,2, FSV Mainz 05,1
2013,FC Nurnberg,0, Greuther Furth,0
2013,Werder Bremen,1, Wolfsburg,1
2013,Frankfurt,1, Schalke 04,1
2013,Hannover 96,0, Bayern Munich,5
2013,Stuttgart,0, Freiburg,3
2013,Monchengladbach,1, FC Augsburg,1
2013,Leverkusen,2, Hoffenheim,1
2013,Greuther Furth,0, Hannover 96,2
2013,Dusseldorf,1, Dortmund,1
2013,FSV Mainz 05,3, Frankfurt,1
2013,Schalke 04,1, Hamburger SV,3
2013,Bayern Munich,2, Freiburg,0
2013,Hoffenheim,2, FC Nurnberg,4
2013,FC Augsburg,1, Stuttgart,2
2013,Wolfsburg,0, Monchengladbach,2
2013,Leverkusen,4, Werder Bremen,1
2013,Frankfurt,0, Dusseldorf,4
2013,Hannover 96,1, FSV Mainz 05,2
2013,Stuttgart,1, Greuther Furth,0
2013,Freiburg,1, FC Augsburg,1
2013,FC Nurnberg,0, Leverkusen,1
2013,Monchengladbach,1, Schalke 04,1
2013,Dortmund,1, Bayern Munich,1
2013,Werder Bremen,4, Hoffenheim,1
2013,Hamburger SV,1, Wolfsburg,1
2013,Hoffenheim,0, Hamburger SV,2
2013,Dusseldorf,0, FC Nurnberg,2
2013,Werder Bremen,1, Frankfurt,4
2013,Greuther Furth,0, Freiburg,1
2013,Schalke 04,1, Stuttgart,3
2013,Wolfsburg,3, Dortmund,2
2013,Bayern Munich,2, FC Augsburg,0
2013,Leverkusen,2, Hannover 96,3
2013,FSV Mainz 05,0, Monchengladbach,2
2013,Monchengladbach,1, Bayern Munich,1
2013,FC Augsburg,1, Greuther Furth,1
2013,Freiburg,3, Schalke 04,1
2013,Hamburger SV,0, Leverkusen,3
2013,Frankfurt,2, Wolfsburg,0
2013,Stuttgart,1, FSV Mainz 05,3
2013,Hannover 96,1, Dusseldorf,2
2013,Dortmund,3, Hoffenheim,1
2013,FC Nurnberg,1, Werder Bremen,1
2013,Hannover 96,4, Schalke 04,5
2013,Dortmund,5, Werder Bremen,0
2013,Monchengladbach,0, Hoffenheim,0
2013,Stuttgart,0, Wolfsburg,2
2013,Freiburg,0, FSV Mainz 05,0
2013,Greuther Furth,0, Bayern Munich,2
2013,Frankfurt,1, Leverkusen,3
2013,FC Augsburg,3, Dusseldorf,2
2013,Hamburger SV,1, FC Nurnberg,1
2013,FC Nurnberg,0, Dortmund,3
2013,FSV Mainz 05,3, Greuther Furth,0
2013,Hoffenheim,1, Frankfurt,2
2013,Wolfsburg,1, Hannover 96,2
2013,Leverkusen,0, Freiburg,0
2013,Schalke 04,0, FC Augsburg,0
2013,Dusseldorf,1, Monchengladbach,2
2013,Werder Bremen,2, Hamburger SV,3
2013,Bayern Munich,2, Stuttgart,0
2013,Hannover 96,0, Werder Bremen,2
2013,Stuttgart,1, Dusseldorf,3
2013,FC Augsburg,1, Wolfsburg,1
2013,Freiburg,1, Hoffenheim,2
2013,Frankfurt,2, Hamburger SV,0
2013,Greuther Furth,2, Schalke 04,1
2013,Bayern Munich,3, FSV Mainz 05,0
2013,Monchengladbach,1, FC Nurnberg,2
2013,Dortmund,3, Leverkusen,2
2013,Schalke 04,0, Bayern Munich,4
2013,FC Nurnberg,0, Frankfurt,0
2013,Werder Bremen,4, Stuttgart,1
2013,Wolfsburg,1, Greuther Furth,0
2013,Leverkusen,3, Monchengladbach,3
2013,Hamburger SV,4, Dortmund,1
2013,Hoffenheim,0, Hannover 96,1
2013,FSV Mainz 05,1, FC Augsburg,1
2013,Dusseldorf,0, Freiburg,1
2013,Bayern Munich,2, Wolfsburg,0
2013,Freiburg,3, Werder Bremen,2
2013,Monchengladbach,0, Hamburger SV,1
2013,Schalke 04,2, FSV Mainz 05,2
2013,Frankfurt,0, Dortmund,3
2013,FC Augsburg,1, Leverkusen,2
2013,Greuther Furth,0, Dusseldorf,1
2013,Hannover 96,2, FC Nurnberg,2
2013,Stuttgart,1, Hoffenheim,0
2013,Frankfurt,0, Freiburg,0
2013,Wolfsburg,1, FSV Mainz 05,1
2013,Dusseldorf,1, Schalke 04,2
2013,Hamburger SV,1, Hannover 96,5
2013,Hoffenheim,1, FC Augsburg,2
2013,FC Nurnberg,1, Stuttgart,1
2013,Werder Bremen,1, Bayern Munich,6
2013,Leverkusen,0, Greuther Furth,0
2013,Dortmund,1, Monchengladbach,1
2013,Monchengladbach,1, Frankfurt,0
2013,FC Augsburg,1, Werder Bremen,0
2013,Greuther Furth,1, Hamburger SV,1
2013,Schalke 04,4, Wolfsburg,1
2013,Freiburg,1, FC Nurnberg,1
2013,Hannover 96,1, Dortmund,3
2013,Stuttgart,1, Leverkusen,2
2013,FSV Mainz 05,1, Dusseldorf,1
2013,Bayern Munich,1, Hoffenheim,0
2013,FC Nurnberg,2, FC Augsburg,1
2013,Hoffenheim,3, Greuther Furth,0
2013,Dusseldorf,2, Bayern Munich,3
2013,Leverkusen,0, FSV Mainz 05,1
2013,Wolfsburg,5, Freiburg,2
2013,Werder Bremen,1, Monchengladbach,1
2013,Dortmund,1, Schalke 04,2
2013,Hamburger SV,1, Stuttgart,0
2013,Frankfurt,0, Hannover 96,0
2013,Dusseldorf,1, Wolfsburg,1
2013,FSV Mainz 05,0, Hoffenheim,0
2013,Bayern Munich,2, Leverkusen,1
2013,Schalke 04,0, FC Nurnberg,3
2013,FC Augsburg,1, Hamburger SV,0
2013,Greuther Furth,2, Werder Bremen,2
2013,Freiburg,1, Dortmund,5
2013,Hannover 96,0, Monchengladbach,1
2013,Stuttgart,2, Frankfurt,1
2013,Hamburger SV,2, Bayern Munich,9
2013,Dortmund,2, Stuttgart,1
2013,Monchengladbach,0, Freiburg,2
2013,Leverkusen,4, Dusseldorf,1
2013,Hannover 96,2, FC Augsburg,0
2013,Werder Bremen,1, FSV Mainz 05,1
2013,Hoffenheim,0, Schalke 04,3
2013,Frankfurt,3, Greuther Furth,2
2013,FC Nurnberg,2, Wolfsburg,2
2013,Dusseldorf,0, Hoffenheim,3
2013,Wolfsburg,1, Leverkusen,1
2013,Freiburg,1, Hamburger SV,0
2013,Schalke 04,2, Werder Bremen,0
2013,FC Augsburg,2, Dortmund,4
2013,Greuther Furth,0, Monchengladbach,1
2013,Bayern Munich,1, Frankfurt,0
2013,FSV Mainz 05,1, FC Nurnberg,2
2013,Stuttgart,0, Hannover 96,0
2013,Hannover 96,1, Freiburg,3
2013,Dortmund,6, Greuther Furth,1
2013,Werder Bremen,2, Dusseldorf,2
2013,FC Nurnberg,0, Bayern Munich,4
2013,Hoffenheim,2, Wolfsburg,2
2013,Hamburger SV,2, FSV Mainz 05,1
2013,Leverkusen,2, Schalke 04,2
2013,Frankfurt,0, FC Augsburg,2
2013,Monchengladbach,0, Stuttgart,2
2013,FC Augsburg,0, Monchengladbach,1
2013,Dusseldorf,1, Hamburger SV,2
2013,Hoffenheim,0, Leverkusen,5
2013,Wolfsburg,3, Werder Bremen,0
2013,Schalke 04,0, Frankfurt,1
2013,FSV Mainz 05,0, Dortmund,2
2013,Bayern Munich,6, Hannover 96,1
2013,Greuther Furth,1, FC Nurnberg,0
2013,Freiburg,1, Stuttgart,2
2013,Hannover 96,3, Greuther Furth,2
2013,Freiburg,0, Bayern Munich,1
2013,Stuttgart,0, FC Augsburg,3
2013,Monchengladbach,1, Wolfsburg,3
2013,Dortmund,2, Dusseldorf,1
2013,FC Nurnberg,1, Hoffenheim,2
2013,Werder Bremen,0, Leverkusen,1
2013,Frankfurt,0, FSV Mainz 05,0
2013,Hamburger SV,1, Schalke 04,4
2013,Schalke 04,1, Monchengladbach,0
2013,Greuther Furth,2, Stuttgart,0
2013,Bayern Munich,1, Dortmund,1
2013,Hoffenheim,2, Werder Bremen,2
2013,Leverkusen,2, FC Nurnberg,0
2013,Dusseldorf,1, Frankfurt,3
2013,FSV Mainz 05,2, Hannover 96,2
2013,FC Augsburg,0, Freiburg,2
2013,Wolfsburg,1, Hamburger SV,1
2013,FC Augsburg,0, Bayern Munich,3
2013,Frankfurt,1, Werder Bremen,1
2013,Hamburger SV,4, Hoffenheim,1
2013,Freiburg,2, Greuther Furth,1
2013,FC Nurnberg,2, Dusseldorf,1
2013,Hannover 96,1, Leverkusen,3
2013,Stuttgart,2, Schalke 04,1
2013,Monchengladbach,4, FSV Mainz 05,2
2013,Dortmund,3, Wolfsburg,3
2013,Greuther Furth,1, FC Augsburg,3
2013,Bayern Munich,4, Monchengladbach,3
2013,Dusseldorf,0, Hannover 96,3
2013,Schalke 04,2, Freiburg,1
2013,Leverkusen,1, Hamburger SV,0
2013,Wolfsburg,2, Frankfurt,2
2013,Werder Bremen,2, FC Nurnberg,3
2013,Hoffenheim,2, Dortmund,1
2013,FSV Mainz 05,2, Stuttgart,2
2013,Getafe,1, FC Sevilla,2
2013,Malaga,1, Celta Vigo,0
2013,Espanyol,1, Mallorca,2
2013,Betis Sevilla,5, Athletic Bilbao,3
2013,Valencia,1, Real Madrid,1
2013,Atletico Madrid,1, Levante,1
2013,Real Sociedad,1, FC Barcelona,5
2013,Granada,0, Rayo Vallecano,1
2013,Valladolid,1, Zaragoza,0
2013,Osasuna,0, Deportivo,2
2013,Rayo Vallecano,2, Betis Sevilla,1
2013,Zaragoza,2, Espanyol,1
2013,Mallorca,1, Malaga,1
2013,Celta Vigo,1, Real Sociedad,2
2013,Deportivo,3, Valencia,3
2013,FC Sevilla,1, Granada,1
2013,Real Madrid,1, Getafe,2
2013,FC Barcelona,2, Osasuna,1
2013,Athletic Bilbao,0, Atletico Madrid,4
2013,Levante,0, Valladolid,2
2013,Real Sociedad,0, Mallorca,1
2013,Malaga,1, Zaragoza,0
2013,Getafe,1, Deportivo,1
2013,Osasuna,0, Celta Vigo,2
2013,Espanyol,2, Levante,3
2013,Valencia,0, FC Barcelona,1
2013,Valladolid,0, Athletic Bilbao,2
2013,Granada,0, Real Madrid,3
2013,FC Sevilla,0, Rayo Vallecano,0
2013,Celta Vigo,1, Valencia,2
2013,Real Madrid,0, FC Sevilla,1
2013,FC Barcelona,4, Getafe,1
2013,Levante,1, Malaga,3
2013,Deportivo,1, Granada,1
2013,Zaragoza,0, Real Sociedad,2
2013,Athletic Bilbao,3, Espanyol,3
2013,Rayo Vallecano,3, Atletico Madrid,4
2013,Mallorca,1, Osasuna,1
2013,Betis Sevilla,1, Valladolid,0
2013,Granada,0, FC Barcelona,2
2013,Espanyol,0, Betis Sevilla,1
2013,Osasuna,1, Zaragoza,3
2013,Getafe,1, Celta Vigo,2
2013,Valladolid,1, Atletico Madrid,2
2013,Malaga,0, Athletic Bilbao,0
2013,Real Sociedad,1, Levante,2
2013,Valencia,0, Mallorca,2
2013,FC Sevilla,2, Deportivo,0
2013,Real Madrid,2, Rayo Vallecano,0
2013,Atletico Madrid,4, Betis Sevilla,2
2013,Zaragoza,0, Valencia,2
2013,Betis Sevilla,0, Malaga,4
2013,Athletic Bilbao,0, Real Sociedad,2
2013,FC Barcelona,3, FC Sevilla,2
2013,Deportivo,1, Real Madrid,5
2013,Celta Vigo,1, Granada,2
2013,Levante,0, Osasuna,4
2013,Atletico Madrid,1, Espanyol,0
2013,Rayo Vallecano,1, Valladolid,6
2013,Mallorca,0, Getafe,1
