,Team,Season_Yr,WP,MOV,SOS,SRS,ORtg,DRtg,Pace,FTr,3PAr,TS_Perc,O_eFG_Perc,O_TOV_Perc,ORB_Perc,O_FT_per_FGA,D_eFG_Perc,D_TOV_Perc,DRB_Perc,D_FT_per_FGA
0,San Antonio Spurs,2014,0.744,7.72,0.28,8.0,110.5,102.4,95.0,0.24,0.257,0.571,0.537,13.5,22.7,0.188,0.482,12.8,76.4,0.184
1,Los Angeles Clippers,2014,0.72,6.98,0.3,7.27,112.1,104.8,95.9,0.353,0.291,0.567,0.526,12.7,25.0,0.258,0.484,13.8,72.5,0.222
2,Oklahoma City Thunder,2014,0.707,6.34,0.32,6.66,110.5,103.9,95.4,0.303,0.271,0.566,0.52,14.0,26.5,0.244,0.488,13.9,75.6,0.221
3,Golden State Warriors,2014,0.659,4.8,0.34,5.15,107.5,102.6,96.2,0.247,0.291,0.55,0.517,13.8,25.1,0.186,0.477,13.6,76.3,0.224
4,Houston Rockets,2014,0.646,4.56,0.5,5.06,111.0,106.3,96.3,0.386,0.33,0.571,0.531,14.6,27.4,0.275,0.489,12.5,74.1,0.193
5,Portland Trail Blazers,2014,0.634,3.99,0.45,4.44,111.5,107.4,94.9,0.27,0.29,0.548,0.504,12.4,28.0,0.22,0.488,11.0,74.7,0.194
6,Miami Heat,2014,0.659,4.76,-0.61,4.15,110.9,105.8,91.2,0.3,0.292,0.59,0.554,14.6,20.6,0.228,0.511,15.8,73.0,0.212
7,Indiana Pacers,2014,0.659,4.4,-0.77,3.63,104.1,99.3,92.5,0.29,0.235,0.535,0.49,14.3,24.9,0.226,0.46,12.9,76.8,0.197
8,Minnesota Timberwolves,2014,0.585,2.67,0.43,3.1,108.9,106.2,97.3,0.321,0.245,0.535,0.486,12.2,27.4,0.249,0.518,14.8,74.4,0.177
9,Phoenix Suns,2014,0.585,2.63,0.39,3.02,109.5,106.7,95.8,0.293,0.3,0.558,0.519,14.0,26.4,0.222,0.496,13.9,73.7,0.237
10,Dallas Mavericks,2014,0.585,2.4,0.5,2.91,111.2,108.7,93.5,0.253,0.274,0.564,0.526,12.7,24.6,0.201,0.515,14.8,72.7,0.229
11,Toronto Raptors,2014,0.61,3.24,-0.69,2.55,108.8,105.3,91.8,0.306,0.285,0.545,0.498,13.2,27.2,0.239,0.493,14.1,74.9,0.237
12,Memphis Grizzlies,2014,0.561,1.57,0.61,2.18,106.3,104.6,89.9,0.248,0.171,0.529,0.494,13.1,28.3,0.184,0.497,13.8,75.7,0.199
13,Chicago Bulls,2014,0.573,1.85,-0.66,1.2,102.5,100.5,90.2,0.29,0.222,0.518,0.471,14.2,27.2,0.226,0.471,13.7,75.4,0.189
14,Washington Wizards,2014,0.549,1.27,-0.79,0.48,106.0,104.6,93.2,0.248,0.246,0.538,0.506,13.6,25.2,0.181,0.504,15.0,75.7,0.22
15,Atlanta Hawks,2014,0.488,-0.48,-0.4,-0.88,105.9,106.4,94.6,0.266,0.316,0.554,0.515,14.3,21.0,0.208,0.51,14.0,74.4,0.196
16,Charlotte Bobcats,2014,0.488,-0.22,-0.67,-0.89,103.6,103.8,92.4,0.297,0.219,0.522,0.481,11.7,21.9,0.219,0.491,12.6,77.6,0.183
17,Denver Nuggets,2014,0.427,-2.15,0.75,-1.4,106.0,108.2,98.1,0.306,0.278,0.536,0.497,14.0,27.5,0.222,0.5,12.8,74.5,0.233
18,New York Knicks,2014,0.476,-0.79,-0.61,-1.4,108.3,109.1,90.3,0.248,0.302,0.541,0.505,12.5,25.1,0.189,0.514,14.0,74.3,0.245
19,Brooklyn Nets,2014,0.463,-1.0,-0.58,-1.58,106.7,107.7,91.4,0.313,0.301,0.555,0.514,14.1,21.7,0.236,0.509,14.9,72.3,0.236
20,New Orleans Pelicans,2014,0.402,-2.71,0.73,-1.98,107.2,110.1,92.2,0.286,0.193,0.537,0.495,12.9,26.9,0.22,0.515,13.6,73.8,0.249
