Season_Yr,Visitor_Team,Visitor_Team_PTS,Home_Team,Home_Team_PTS
2017,New York Knicks,88,Cleveland Cavaliers,117
2017,San Antonio Spurs,129,Golden State Warriors,100
2017,Utah Jazz,104,Portland Trail Blazers,113
2017,Brooklyn Nets,117,Boston Celtics,122
2017,Dallas Mavericks,121,Indiana Pacers,130
2017,Houston Rockets,114,Los Angeles Lakers,120
2017,Minnesota Timberwolves,98,Memphis Grizzlies,102
2017,Charlotte Hornets,107,Milwaukee Bucks,96
2017,Denver Nuggets,107,New Orleans Pelicans,102
2017,Miami Heat,108,Orlando Magic,96
2017,Oklahoma City Thunder,103,Philadelphia 76ers,97
2017,Sacramento Kings,113,Phoenix Suns,94
2017,Detroit Pistons,91,Toronto Raptors,109
2017,Washington Wizards,99,Atlanta Hawks,114
2017,Boston Celtics,99,Chicago Bulls,105
2017,Los Angeles Clippers,114,Portland Trail Blazers,106
2017,San Antonio Spurs,102,Sacramento Kings,94
2017,Indiana Pacers,94,Brooklyn Nets,103
2017,Houston Rockets,106,Dallas Mavericks,98
2017,Orlando Magic,82,Detroit Pistons,108
2017,Charlotte Hornets,97,Miami Heat,91
2017,Golden State Warriors,122,New Orleans Pelicans,114
2017,Phoenix Suns,110,Oklahoma City Thunder,113
2017,Cleveland Cavaliers,94,Toronto Raptors,91
2017,Los Angeles Lakers,89,Utah Jazz,96
2017,Indiana Pacers,101,Chicago Bulls,118
2017,Boston Celtics,104,Charlotte Hornets,98
2017,Orlando Magic,99,Cleveland Cavaliers,105
2017,Portland Trail Blazers,115,Denver Nuggets,113
2017,Brooklyn Nets,108,Milwaukee Bucks,110
2017,Memphis Grizzlies,104,New York Knicks,111
2017,Atlanta Hawks,104,Philadelphia 76ers,72
2017,Minnesota Timberwolves,103,Sacramento Kings,106
2017,New Orleans Pelicans,79,San Antonio Spurs,98
2017,Milwaukee Bucks,83,Detroit Pistons,98
2017,Dallas Mavericks,92,Houston Rockets,93
2017,Utah Jazz,75,Los Angeles Clippers,88
2017,Washington Wizards,103,Memphis Grizzlies,112
2017,San Antonio Spurs,106,Miami Heat,99
2017,Los Angeles Lakers,96,Oklahoma City Thunder,113
2017,Golden State Warriors,106,Phoenix Suns,100
2017,Sacramento Kings,95,Atlanta Hawks,106
2017,Chicago Bulls,118,Brooklyn Nets,88
2017,Phoenix Suns,98,Los Angeles Clippers,116
2017,Denver Nuggets,102,Toronto Raptors,105
2017,Houston Rockets,120,Cleveland Cavaliers,128
